 # webanno.custom.Entity | NC # webanno.custom.SemanticRelation | SemRelation | AttachTo=webanno.custom.Entity
#id=1
#text=Eyes are the organs of vision . They detect light and convert it into electro - chemical impulses in neurons . The simplest photoreceptor cells in conscious vision connect light to movement . In higher organisms the eye is a complex optical system which collects light from the surrounding environment , regulates its intensity through a diaphragm , focuses it through an adjustable assembly of lenses to form an image , converts this image into a set of electrical signals , and transmits these signals to the brain through complex neural pathways that connect the eye via the optic nerve to the visual cortex and other areas of the brain . Eyes with resolving power have come in ten fundamentally different forms , and 96 % of animal species possess a complex optical system . [ 1 ] Image - resolving eyes are present in molluscs , chordates and arthropods . [ 2
1-1	Eyes	B-NC	Hypernym|Hypernym	1-4|1-4	
1-55	through	O	_	_	
1-56	a	O	_	_	
1-57	diaphragm	B-NC	Holonym	1-38	
1-58	,	O	_	_	
1-59	focuses	O	_	_	
1-60	it	O	_	_	
1-61	through	O	_	_	
1-62	an	O	_	_	
1-63	adjustable	O	_	_	
1-64	assembly	B-NC	_	_	
1-65	of	O	_	_	
1-66	lenses	B-NC	Holonym	1-38	
1-67	to	O	_	_	
1-68	form	O	_	_	
1-69	an	O	_	_	
1-70	image	B-NC	_	_	
1-71	,	O	_	_	
1-72	converts	O	_	_	
1-73	this	O	_	_	
1-74	image	B-NC	_	_	
1-75	into	O	_	_	
1-76	a	O	_	_	
1-77	set	B-NC	_	_	
1-78	of	O	_	_	
1-79	electrical	O	_	_	
1-80	signals	B-NC	_	_	
1-81	,	O	_	_	
1-82	and	O	_	_	
1-83	transmits	O	_	_	
1-84	these	O	_	_	
1-85	signals	B-NC	_	_	
1-86	to	O	_	_	
1-87	the	O	_	_	
1-88	brain	B-NC	Holonym	1-36	
1-89	through	O	_	_	
1-90	complex	O	_	_	
1-91	neural	O	_	_	
1-92	pathways	B-NC	_	_	
1-93	that	O	_	_	
1-94	connect	O	_	_	
1-95	the	O	_	_	
1-96	eye	B-NC	Holonym	1-103	
1-97	via	O	_	_	
1-98	the	O	_	_	
1-99	optic	B-NC	_	_	
1-100	nerve	I-NC|B-NC	Holonym	1-88	
1-101	to	O	_	_	
1-102	the	O	_	_	
1-103	visual	B-NC	Holonym|Holonym|Holonym	1-88|1-133|1-110	
1-104	cortex	I-NC|B-NC	_	_	
1-105	and	O	_	_	
1-106	other	O	_	_	
1-107	areas	B-NC	_	_	
1-108	of	O	_	_	
1-109	the	O	_	_	
1-110	brain	B-NC	_	_	
1-111	.	O	_	_	
1-112	Eyes	B-NC	Holonym|Holonym	1-133|1-133	
1-113	with	O	_	_	
1-114	resolving	O	_	_	
1-115	power	B-NC	_	_	
1-116	have	O	_	_	
1-117	come	O	_	_	
1-118	in	O	_	_	
1-119	ten	O	_	_	
1-120	fundamentally	O	_	_	
1-121	different	O	_	_	
1-122	forms	B-NC	_	_	
1-123	,	O	_	_	
1-124	and	O	_	_	
1-125	96	O	_	_	
1-126	%	B-NC	_	_	
1-127	of	O	_	_	
1-128	animal	O	_	_	
1-129	species	B-NC	_	_	
1-130	possess	O	_	_	
1-131	a	O	_	_	
1-132	complex	O	_	_	
1-133	optical	B-NC	_	_	
1-134	system	I-NC|B-NC	_	_	
1-135	.	O	_	_	
1-136	[	O	_	_	
1-137	1	O	_	_	
1-138	]	O	_	_	
1-139	Image	B-NC	_	_	
1-140	-	O	_	_	
1-141	resolving	O	_	_	
1-142	eyes	B-NC	_	_	
1-143	are	O	_	_	
1-144	present	O	_	_	
1-145	in	O	_	_	
1-146	molluscs	B-NC	Hypernym	1-129	
1-147	,	O	_	_	
1-148	chordates	B-NC	Hypernym	1-129	
1-149	and	O	_	_	
1-150	arthropods	B-NC	Hypernym	1-129	
1-151	.	O	_	_	
1-152	[	O	_	_	
1-153	2	O	_	_	

#id=2
#text=The simplest " eyes " , such as those in microorganisms , do nothing but detect whether the surroundings are light or dark , which is sufficient for the entrainment of circadian rhythms . [ citation needed ] From more complex eyes , retinal photosensitive ganglion cells send signals along the retinohypothalamic tract to the suprachiasmatic nuclei to effect circadian adjustment
2-1	The	O	_	_	
2-2	simplest	O	_	_	
2-3	"	O	_	_	
2-4	eyes	B-NC	Holonym	2-11	
2-5	"	O	_	_	
2-6	,	O	_	_	
2-7	such	O	_	_	
2-8	as	O	_	_	
2-9	those	O	_	_	
2-10	in	O	_	_	
2-11	microorganisms	B-NC	_	_	
2-12	,	O	_	_	
2-13	do	O	_	_	
2-14	nothing	B-NC	_	_	
2-15	but	O	_	_	
2-16	detect	O	_	_	
2-17	whether	O	_	_	
2-18	the	O	_	_	
2-19	surroundings	B-NC	_	_	
2-20	are	O	_	_	
2-21	light	O	_	_	
2-22	or	O	_	_	
2-23	dark	B-NC	_	_	
2-24	,	O	_	_	
2-25	which	O	_	_	
2-26	is	O	_	_	
2-27	sufficient	O	_	_	
2-28	for	O	_	_	
2-29	the	O	_	_	
2-30	entrainment	B-NC	_	_	
2-31	of	O	_	_	
2-32	circadian	O	_	_	
2-33	rhythms	B-NC	_	_	
2-34	.	O	_	_	
2-35	[	O	_	_	
2-36	citation	B-NC	_	_	
2-37	needed	O	_	_	
2-38	]	O	_	_	
2-39	From	O	_	_	
2-40	more	O	_	_	
2-41	complex	O	_	_	
2-42	eyes	B-NC	_	_	
2-43	,	O	_	_	
2-44	retinal	O	_	_	
2-45	photosensitive	O	_	_	
2-46	ganglion	B-NC|B-NC	Holonym	2-42	
2-47	cells	I-NC|B-NC	_	_	
2-48	send	O	_	_	
2-49	signals	B-NC	_	_	
2-50	along	O	_	_	
2-51	the	O	_	_	
2-52	retinohypothalamic	O	_	_	
2-53	tract	B-NC	_	_	
2-54	to	O	_	_	
2-55	the	O	_	_	
2-56	suprachiasmatic	O	_	_	
2-57	nuclei	B-NC	_	_	
2-58	to	O	_	_	
2-59	effect	O	_	_	
2-60	circadian	O	_	_	
2-61	adjustment	B-NC	_	_	

